,IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,AddressInfo.Town,GeneralComments,AddressInfo.RelatedURL,UsageCost,AddressInfo.AddressLine2,AddressInfo.AccessComments,AddressInfo.ContactTelephone1,AddressInfo.ContactEmail,AddressInfo.ContactTelephone2,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Reference,Amps,Voltage,Comments
0,True,2023-03-15T11:19:00Z,256957,C274DD57-63EE-4953-8723-61A928DC8A64,1,1.0,6.0,[],1,50,2023-03-15T11:19:00Z,1,2023-03-15T10:20:00Z,200,257341,De Wildkansel,De Wildkansel,Flevoland,8251 ME,159,52.521086139767704,5.731164197082762,0,,,,,,,,,,,,,,,,,,,,
1,True,2023-03-04T15:56:00Z,238390,54DE6F07-8F83-4D6C-AC5C-F46C3CC5AF40,1,47.0,4.0,"[{'ID': 392175, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 392176, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}]",1,50,2023-03-04T15:56:00Z,1,2023-03-04T15:56:00Z,200,238774,Mc Donalds Ijsselstein,Lorentzlaan,Utrecht,3401 MX,159,52.014896340300794,5.06245760912293,0,IJsselstein,,,,,,,,,392175.0,33.0,50.0,3.0,50.0,30.0,1.0,,,,
2,True,2023-03-04T15:52:00Z,238389,2A59654E-C064-4234-AD9F-9E814387FE0B,1,47.0,4.0,"[{'ID': 392173, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 6}, {'ID': 392174, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}]",6,50,2023-03-04T15:52:00Z,1,2023-03-04T15:52:00Z,200,238773,Haje Allego Ultra E Nieuwegein Oost,Waterliniedok,Utrecht,3433 NV,159,52.01118158983823,5.1220471338107245,0,Nieuwegein,,,,,,,,,392173.0,33.0,50.0,3.0,175.0,30.0,6.0,,,,
3,True,2023-03-04T15:49:00Z,238388,2C11156F-072A-416A-9489-B2D96889BD9F,1,47.0,4.0,"[{'ID': 392171, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 392172, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}]",1,50,2023-03-04T15:49:00Z,1,2023-03-04T15:49:00Z,200,238772,Mc Donalds Nieuwegein ,Ravenswade,Utrecht,3439 LD,159,52.04920110246246,5.117388801827872,0,Nieuwegein,,,,,,,,,392171.0,33.0,50.0,3.0,50.0,30.0,1.0,,,,
4,True,2023-03-04T14:27:00Z,238387,7CC524E9-1377-47C2-97A5-B616B76DD825,1,47.0,4.0,"[{'ID': 392170, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 2}]",2,50,2023-03-04T14:27:00Z,1,2023-03-04T14:27:00Z,200,238771,Divers Woerden,Europabaan,Utrecht,3446 CE,159,52.075587540309186,4.901184234016853,0,Woerden,,,,,,,,,392170.0,33.0,50.0,3.0,175.0,30.0,2.0,,,,
5,True,2023-03-04T14:16:00Z,238386,A543C1A2-9612-4492-B227-394A6A0143D1,1,47.0,4.0,"[{'ID': 392167, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 2}, {'ID': 392168, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 70.0, 'CurrentTypeID': 30, 'Quantity': 2}]",2,50,2023-03-04T14:16:00Z,1,2023-03-04T14:16:00Z,200,238770,Shell A12 Hellevliet,Rijksweg A12,Utrecht,3481 CV,159,52.08093975266934,4.983936303056225,0,Woerden,,,,,,,,,392167.0,33.0,50.0,3.0,175.0,30.0,2.0,,,,
6,True,2023-03-04T14:11:00Z,238385,929C3638-907E-4E94-AC57-21EA35065635,1,47.0,4.0,"[{'ID': 392165, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 2}, {'ID': 392166, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 70.0, 'CurrentTypeID': 30, 'Quantity': 2}]",2,50,2023-03-04T14:11:00Z,1,2023-03-04T14:07:00Z,200,238769,Shell Recharge Veldhuizen,Veldhuizerweg,Utrecht,3481 ZZ,159,52.0819105021566,5.003278715701072,0,Harmelen,,,,,,,,,392165.0,33.0,50.0,3.0,175.0,30.0,2.0,,,,
7,True,2023-02-23T20:59:00Z,235545,CF27F53F-B0FD-40E3-B0C6-BFC3350BB87B,1,3387.0,4.0,"[{'ID': 388570, 'ConnectionTypeID': 25, 'Reference': 'SGZH1-03906 SGZH', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2,50,2023-02-23T20:59:00Z,1,2023-02-23T20:42:00Z,200,235929,Rivierenlaan 164,Rivierenlaan 164,Zuid-Holland,2641 RK,159,52.008437986141985,4.438623144085568,0,Pijnacker,,,,,,,,,388570.0,25.0,50.0,2.0,11.0,20.0,2.0,SGZH1-03906 SGZH,16.0,400.0,
8,True,2023-02-21T13:18:00Z,235341,760B6873-7F7A-4378-BB0B-2EC793085F0D,1,103.0,1.0,"[{'ID': 388152, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO011946', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2,50,2023-02-21T13:18:00Z,1,2023-02-18T09:43:00Z,200,235725,Rosendaalsestraat 318,Rosendaalsestraat 318,,6824 CW,159,51.989283738948245,5.926502582741591,0,Arnhem,"Allego NLALLEGO011946
NL-ALL-NLALLEGO011946",https://www.allego.eu/,,,,,,,388152.0,25.0,50.0,2.0,11.0,20.0,2.0,NLALLEGO011946,16.0,400.0,
9,True,2023-02-11T08:31:00Z,213619,1DE21223-B9D5-446D-8B1C-4C29BF2329DA,1,45.0,1.0,"[{'ID': 355834, 'ConnectionTypeID': 33, 'Reference': 'NL*AVI*ENLAVIM0000027*1', 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 138.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 367061, 'ConnectionTypeID': 33, 'Reference': 'NL*AVI*ENLAVIM0000027*2', 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 120.0, 'CurrentTypeID': 30}]",2,50,2023-02-11T08:31:00Z,1,2023-02-08T14:38:00Z,200,213999,Avia Marees Den Oever,Havenweg 2,Noord Holland,1779 XT,159,52.92906820812402,5.028645395294689,0,Den Oever,,,€0.65 per kWh,,,,,,355834.0,33.0,50.0,3.0,138.0,30.0,1.0,NL*AVI*ENLAVIM0000027*1,,,
