,brandstof_omschrijving,cum aantal,datum
0,Benzine,1,1950-04-01
1,Benzine,2,1950-07-01
2,Benzine,8,1951-01-01
3,Benzine,10,1951-02-01
4,Benzine,18,1951-03-01
5,Benzine,24,1951-04-01
6,Benzine,30,1951-05-01
7,Benzine,40,1951-06-01
8,Benzine,49,1951-07-01
9,Benzine,54,1951-08-01
10,Benzine,58,1951-09-01
11,Benzine,62,1951-10-01
12,Benzine,69,1951-11-01
13,Benzine,71,1951-12-01
14,Benzine,76,1952-01-01
15,Benzine,83,1952-02-01
16,Benzine,96,1952-03-01
17,Benzine,102,1952-04-01
18,Benzine,112,1952-05-01
19,Diesel,1,1952-05-01
20,Benzine,120,1952-06-01
21,Benzine,133,1952-07-01
22,Benzine,140,1952-08-01
23,Diesel,3,1952-08-01
24,LPG,1,1952-08-01
25,Benzine,150,1952-09-01
26,Benzine,159,1952-10-01
27,Diesel,10,1952-10-01
28,Benzine,167,1952-11-01
29,Diesel,11,1952-11-01
30,Benzine,187,1952-12-01
31,Benzine,204,1953-01-01
32,Benzine,220,1953-02-01
33,Benzine,239,1953-03-01
34,Diesel,12,1953-03-01
35,Benzine,259,1953-04-01
36,Benzine,281,1953-05-01
37,Benzine,301,1953-06-01
38,Diesel,13,1953-06-01
39,Benzine,316,1953-07-01
40,Benzine,332,1953-08-01
41,Benzine,344,1953-09-01
42,Benzine,358,1953-10-01
43,LPG,2,1953-10-01
44,Benzine,382,1953-11-01
45,Benzine,397,1953-12-01
46,Benzine,411,1954-01-01
47,Benzine,432,1954-02-01
48,Benzine,458,1954-03-01
49,Diesel,14,1954-03-01
50,Benzine,488,1954-04-01
51,Diesel,15,1954-04-01
52,Benzine,508,1954-05-01
53,Diesel,16,1954-05-01
54,Benzine,539,1954-06-01
55,LPG,3,1954-06-01
56,Benzine,571,1954-07-01
57,Benzine,586,1954-08-01
58,Benzine,609,1954-09-01
59,Diesel,17,1954-09-01
60,Benzine,635,1954-10-01
61,Diesel,19,1954-10-01
62,Benzine,651,1954-11-01
63,Benzine,669,1954-12-01
64,Benzine,678,1955-01-01
65,Benzine,697,1955-02-01
66,Benzine,726,1955-03-01
67,LPG,5,1955-03-01
68,Benzine,763,1955-04-01
69,LPG,6,1955-04-01
70,Benzine,792,1955-05-01
71,Diesel,20,1955-05-01
72,LPG,7,1955-05-01
73,Benzine,834,1955-06-01
74,Benzine,867,1955-07-01
75,Diesel,21,1955-07-01
