,jaar,maand,merk,aantal,cum aantal,datum
0,1951,2,VOLVO,1,1,1951-02-01
1,1951,4,VOLKSWAGEN,1,1,1951-04-01
2,1951,6,VOLKSWAGEN,1,2,1951-06-01
3,1951,7,VOLKSWAGEN,1,3,1951-07-01
4,1951,8,VOLVO,1,2,1951-08-01
5,1951,9,VOLKSWAGEN,2,5,1951-09-01
6,1951,10,RENAULT,1,1,1951-10-01
7,1951,10,VOLVO,1,3,1951-10-01
8,1951,11,VOLKSWAGEN,2,7,1951-11-01
9,1952,2,VOLKSWAGEN,1,8,1952-02-01
10,1952,3,VOLVO,1,4,1952-03-01
11,1952,4,VOLKSWAGEN,1,9,1952-04-01
12,1952,5,VOLKSWAGEN,2,11,1952-05-01
13,1952,6,VOLKSWAGEN,2,13,1952-06-01
14,1952,7,VOLKSWAGEN,2,15,1952-07-01
15,1952,8,BMW,1,1,1952-08-01
16,1952,8,VOLKSWAGEN,2,17,1952-08-01
17,1952,9,VOLKSWAGEN,1,18,1952-09-01
18,1952,10,VOLKSWAGEN,2,20,1952-10-01
19,1952,12,VOLKSWAGEN,1,21,1952-12-01
20,1953,1,VOLKSWAGEN,1,22,1953-01-01
21,1953,1,VOLVO,2,6,1953-01-01
22,1953,2,VOLKSWAGEN,5,27,1953-02-01
23,1953,4,VOLKSWAGEN,1,28,1953-04-01
24,1953,5,VOLKSWAGEN,1,29,1953-05-01
25,1953,6,RENAULT,1,2,1953-06-01
26,1953,7,BMW,1,2,1953-07-01
27,1953,7,VOLKSWAGEN,1,30,1953-07-01
28,1953,9,VOLKSWAGEN,1,31,1953-09-01
29,1953,11,BMW,2,4,1953-11-01
30,1953,11,RENAULT,1,3,1953-11-01
31,1953,11,VOLKSWAGEN,5,36,1953-11-01
32,1953,12,VOLKSWAGEN,4,40,1953-12-01
33,1954,1,VOLKSWAGEN,2,42,1954-01-01
34,1954,1,VOLVO,1,7,1954-01-01
35,1954,2,VOLKSWAGEN,1,43,1954-02-01
36,1954,3,VOLKSWAGEN,2,45,1954-03-01
37,1954,4,VOLVO,1,8,1954-04-01
38,1954,5,VOLKSWAGEN,3,48,1954-05-01
39,1954,6,VOLKSWAGEN,2,50,1954-06-01
40,1954,7,BMW,1,5,1954-07-01
41,1954,7,RENAULT,1,4,1954-07-01
42,1954,7,VOLKSWAGEN,2,52,1954-07-01
43,1954,7,VOLVO,1,9,1954-07-01
