,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
0,0.0,0.0,1962,425.0
1,0.0,0.0,1973,995.3333333333334
2,0.0,0.0,1974,995.0
3,0.0,0.0,1975,1308.0
4,0.0,0.0,1976,1308.0
5,0.0,0.0,1979,1146.0
6,0.0,0.0,1981,1463.5
7,0.0,0.0,1983,1146.0
8,0.0,0.0,1986,1146.0
9,0.0,0.0,1988,1308.0
10,0.0,0.0,1989,1146.0
11,0.0,0.0,1991,1308.0
12,0.0,0.0,1993,995.0
13,0.0,0.0,1994,1584.0
14,0.0,0.0,1995,1308.0
15,0.0,0.0,1998,1146.0
16,0.0,0.0,2004,1189.25
17,0.0,0.0,2005,1308.0
18,0.0,0.0,2006,1112.25
19,0.0,0.0,2007,1096.6666666666667
20,0.0,0.0,2008,1175.5
21,0.0,0.0,2009,2463.0
22,0.0,0.0,2010,2107.4
23,0.0,0.0,2011,1438.0833333333333
24,0.0,0.0,2012,1952.923076923077
25,0.0,0.0,2013,1695.7692307692307
26,0.0,0.0,2014,2238.3333333333335
27,0.0,0.0,2015,1033.5
28,0.0,0.0,2016,1322.3333333333333
29,0.0,0.0,2017,1921.8
30,0.0,0.0,2018,1491.0
31,0.0,0.0,2019,571.3333333333334
32,0.0,0.0,2021,1146.0
33,0.0,1.0,2001,1308.0
34,0.0,1.0,2004,1308.0
35,0.0,1.0,2006,2616.0
36,0.0,1.0,2007,1308.0
37,0.0,1.0,2008,1308.0
38,0.0,1.0,2009,1584.857142857143
39,0.0,1.0,2010,1490.2857142857142
40,0.0,1.0,2011,1308.0
41,0.0,1.0,2012,1861.0
42,0.0,1.0,2013,2082.0
43,0.0,1.0,2014,1043.0
44,0.0,1.0,2015,1305.3333333333333
45,0.0,1.0,2016,1306.0
46,0.0,1.0,2017,1854.0
47,0.0,1.0,2018,1308.0
48,0.0,2.0,1998,2461.0
49,0.0,2.0,2004,1496.0
50,0.0,2.0,2007,4601.0
51,0.0,2.0,2008,2253.5
52,0.0,2.0,2010,2335.0
53,0.0,2.0,2011,2297.0
54,0.0,2.0,2012,1331.0
55,0.0,2.0,2013,3282.3333333333335
56,0.0,2.0,2014,3522.0
57,0.0,2.0,2015,3486.5
58,0.0,2.0,2016,1308.0
59,0.0,2.0,2017,1458.0
60,0.0,2.0,2018,1304.0
61,0.0,2.0,2019,1308.0
62,0.0,4.0,2003,1598.0
63,0.0,4.0,2005,1308.0
64,0.0,4.0,2006,1308.0
65,0.0,4.0,2008,3044.0
66,0.0,4.0,2010,1570.5
67,0.0,4.0,2011,1720.6666666666667
68,0.0,4.0,2012,953.5
69,0.0,4.0,2013,1696.9130434782608
70,0.0,4.0,2014,2033.7692307692307
71,0.0,4.0,2015,1565.8
72,0.0,4.0,2016,1302.3333333333333
73,0.0,4.0,2017,1308.0
74,0.0,4.0,2018,1682.6666666666667
75,0.0,4.0,2004,1308.0
76,0.0,4.0,2005,2800.0
77,0.0,4.0,2006,2203.2
78,0.0,4.0,2007,2288.5
79,0.0,4.0,2008,1713.6666666666667
80,0.0,4.0,2009,1897.3333333333333
81,0.0,4.0,2010,1790.0
82,0.0,4.0,2011,2225.1
83,0.0,4.0,2012,2122.9166666666665
84,0.0,4.0,2013,1639.0
85,0.0,4.0,2014,1474.948717948718
86,0.0,4.0,2015,1375.3636363636363
87,0.0,4.0,2016,1431.047619047619
88,0.0,4.0,2017,1514.5263157894738
89,0.0,4.0,2018,1461.8823529411766
90,0.0,4.0,2019,1308.0
91,0.0,4.0,2020,1308.0
92,0.0,4.0,2021,1308.0
93,0.0,4.0,2022,1308.0
94,0.0,5.0,2011,1942.5
95,0.0,5.0,2013,2434.0
96,0.0,5.0,2014,2619.5
97,0.0,7.0,1991,9999.0
98,0.0,7.0,1993,9999.0
99,0.0,7.0,1994,9999.0
100,0.0,7.0,2000,1590.0
101,0.0,7.0,2007,1043.0
102,0.0,7.0,2009,1393.4285714285713
103,0.0,7.0,2010,1657.75
104,0.0,7.0,2012,1968.0
105,0.0,7.0,2015,698.0
106,1.0,0.0,1963,194.5
107,1.0,0.0,1964,200.0
108,1.0,0.0,1968,300.0
109,1.0,0.0,1983,298.0
110,1.0,0.0,2005,198.0
111,1.0,0.0,2006,715.0
112,1.0,0.0,2007,298.0
113,1.0,0.0,2008,242.75
114,1.0,0.0,2009,279.0
115,1.0,0.0,2010,324.0
116,1.0,0.0,2011,246.0
117,1.0,0.0,2012,298.0
118,1.0,0.0,2013,1609.0
119,1.0,0.0,2015,289.0
120,1.0,0.0,2016,245.0
121,1.0,0.0,2017,309.0
122,1.0,0.0,2018,6750.0
123,1.0,0.0,2019,280.3333333333333
124,1.0,0.0,2020,264.3333333333333
125,1.0,0.0,2021,554.25
126,1.0,0.0,2022,591.25
127,1.0,4.0,2000,338.0
128,1.0,4.0,2009,299.0
129,1.0,4.0,2005,1308.0
130,1.0,4.0,2014,1360.0
131,1.0,4.0,2020,1308.0
132,1.0,4.0,2022,1308.0
133,1.0,5.0,2013,1968.0
134,1.0,5.0,2014,2143.0
135,1.0,5.0,2015,503.0
136,1.0,6.0,2018,2287.0
137,1.0,6.0,2019,300.0
138,1.0,6.0,2022,1968.0
139,2.0,0.0,1951,690.0
140,2.0,0.0,1952,944.5
141,2.0,0.0,1955,845.0
142,2.0,0.0,1957,337.0
143,2.0,0.0,1958,393.0
144,2.0,0.0,1959,510.5
145,2.0,0.0,1960,505.625
146,2.0,0.0,1961,521.6666666666666
147,2.0,0.0,1962,638.2
148,2.0,0.0,1963,624.625
149,2.0,0.0,1964,587.8
150,2.0,0.0,1965,645.2857142857143
151,2.0,0.0,1966,651.3333333333334
152,2.0,0.0,1967,632.8333333333334
153,2.0,0.0,1968,533.7058823529412
154,2.0,0.0,1969,575.0588235294117
155,2.0,0.0,1970,610.2702702702703
156,2.0,0.0,1971,559.9583333333334
157,2.0,0.0,1972,596.5405405405405
158,2.0,0.0,1973,684.6176470588235
159,2.0,0.0,1974,649.5813953488372
160,2.0,0.0,1975,610.56
161,2.0,0.0,1976,642.3103448275862
162,2.0,0.0,1977,649.2272727272727
163,2.0,0.0,1978,615.1379310344828
164,2.0,0.0,1979,601.8275862068965
165,2.0,0.0,1980,676.3939393939394
166,2.0,0.0,1981,681.1343283582089
167,2.0,0.0,1982,605.0
168,2.0,0.0,1983,602.006711409396
169,2.0,0.0,1984,603.9545454545455
170,2.0,0.0,1985,603.4176706827309
171,2.0,0.0,1986,603.2736974262398
172,2.0,0.0,1987,603.0640138408304
173,2.0,0.0,1988,615.0641025641025
174,2.0,0.0,1989,607.1951219512196
175,2.0,0.0,1990,603.8190476190476
176,2.0,0.0,1991,605.4893617021277
177,2.0,0.0,1992,594.8205128205128
178,2.0,0.0,1993,598.9607843137255
179,2.0,0.0,1994,601.0714285714286
180,2.0,0.0,1995,590.3373493975904
181,2.0,0.0,1996,598.7910447761194
182,2.0,0.0,1997,599.6466165413534
183,2.0,0.0,1998,600.2700729927008
184,2.0,0.0,1999,600.3538461538461
185,2.0,0.0,2000,600.6938775510204
186,2.0,0.0,2001,600.1630434782609
187,2.0,0.0,2002,606.5945945945946
188,2.0,0.0,2003,602.0
189,2.0,0.0,2004,594.5978260869565
190,2.0,0.0,2005,584.1214953271028
191,2.0,0.0,2006,613.1875
192,2.0,0.0,2007,578.734693877551
193,2.0,0.0,2008,592.4734042553191
194,2.0,0.0,2009,612.2
195,2.0,0.0,2010,575.0
196,2.0,0.0,2011,585.8581081081081
197,2.0,0.0,2012,595.5510204081633
198,2.0,0.0,2013,556.3064516129032
199,2.0,0.0,2014,581.4583333333334
200,2.0,0.0,2015,595.5065789473684
201,2.0,0.0,2016,576.1818181818181
202,2.0,0.0,2017,604.7692307692307
203,2.0,0.0,2018,614.5652173913044
204,2.0,0.0,2019,597.0059523809524
205,2.0,0.0,2020,608.3130841121496
206,2.0,0.0,2021,611.9835390946502
207,2.0,0.0,2022,595.3127147766323
208,2.0,0.0,2023,575.2142857142857
209,2.0,1.0,1992,665.0
210,2.0,1.0,1994,602.0
211,2.0,1.0,1995,648.1538461538462
212,2.0,1.0,1997,652.0
213,2.0,1.0,1998,602.0
214,2.0,1.0,2000,602.0
215,2.0,1.0,2002,704.0
216,2.0,1.0,2003,602.0
217,2.0,1.0,2005,598.0
218,2.0,1.0,2006,652.0
219,2.0,1.0,2008,1308.0
220,2.0,1.0,2009,652.0
221,2.0,1.0,2010,652.0
222,2.0,1.0,2012,1146.0
223,2.0,1.0,2014,652.0
224,2.0,1.0,2015,652.0
225,2.0,1.0,2016,853.3333333333334
226,2.0,1.0,2017,667.3333333333334
227,2.0,1.0,2018,602.0
228,2.0,1.0,2019,1100.6666666666667
229,2.0,1.0,2020,826.75
230,2.0,1.0,2021,976.0
231,2.0,1.0,2022,980.0
232,2.0,2.0,1996,652.0
233,2.0,2.0,1997,652.0
234,2.0,2.0,1998,652.0
235,2.0,2.0,1999,413.0
236,2.0,2.0,2005,651.6
237,2.0,2.0,2006,652.0
238,2.0,2.0,2007,644.0
239,2.0,2.0,2008,1268.6
240,2.0,2.0,2009,652.0
241,2.0,2.0,2012,1340.0
242,2.0,2.0,2015,650.0
243,2.0,2.0,2016,975.0
244,2.0,2.0,2019,639.5
245,2.0,2.0,2021,652.0
246,2.0,2.0,2022,1308.0
247,2.0,2.0,2023,652.0
248,2.0,4.0,2004,652.0
249,2.0,4.0,2005,652.0
250,2.0,4.0,2006,652.0
251,2.0,4.0,2007,652.0
252,2.0,4.0,2009,652.0
253,2.0,4.0,2013,652.0
254,2.0,4.0,2014,650.0
255,2.0,4.0,2016,652.0
256,2.0,4.0,2017,799.0
257,2.0,4.0,2018,1308.0
258,2.0,4.0,2019,1330.0
259,2.0,4.0,2020,3410.5
260,2.0,4.0,2021,1308.0
261,2.0,4.0,2022,1306.0
262,2.0,4.0,2004,1308.0
263,2.0,4.0,2006,1308.0
264,2.0,4.0,2010,997.0
265,2.0,4.0,2011,1308.0
266,2.0,4.0,2013,998.0
267,2.0,4.0,2014,1268.5
268,2.0,4.0,2016,1003.0
269,2.0,4.0,2017,1198.0
270,2.0,4.0,2019,1240.2222222222222
271,2.0,4.0,2020,1308.0
272,2.0,4.0,2021,1308.0
273,2.0,4.0,2022,1308.0
274,2.0,5.0,2010,875.0
275,2.0,5.0,2011,875.0
276,2.0,5.0,2012,875.724269985639
277,2.0,5.0,2013,900.4896149949342
278,2.0,5.0,2014,898.534
279,2.0,5.0,2015,875.3853820598007
280,2.0,5.0,2016,875.0
281,2.0,5.0,2017,875.6760124610591
282,2.0,5.0,2018,880.1974789915967
283,2.0,5.0,2019,876.8469945355191
284,2.0,5.0,2020,877.989247311828
285,2.0,5.0,2021,876.1946308724832
286,2.0,5.0,2022,880.8
287,2.0,5.0,2023,875.0
288,2.0,6.0,1972,499.0
289,2.0,6.0,2013,885.4242671009772
290,2.0,6.0,2014,900.7480875558585
291,2.0,6.0,2015,888.1966832888786
292,2.0,6.0,2016,880.1649457241197
293,2.0,6.0,2017,882.4525078584119
294,2.0,6.0,2018,876.5101034208433
295,2.0,6.0,2019,872.7501601537476
